id;FirstName;LastName;Gender;Birthday;Status;Salary;Taxes;Department;HourlyRate;MaritalStatus;OverTime
49;Jordyn;Connelly;F;10/11/90;PE;124399;;Research & Development;67;Married;No
50;Lavada;Schmidt;M;15/5/87;;101898;;Sales;70;Single;Yes
51;Fleda;Botsford;M;14/1/89;PE;77949;;Sales;96;Divorced;No
51;Berkley;Nader;M;5/1/82;PE;69904;;Research & Development;91;Married;No
54;Keandre;Herzog;M;27/6/91;PE;133885;;Sales;46;Married;No
54;Clovis;Romaguera;F;14/3/92;PE;94327;;Sales;64;Married;No
56;Seth;Rippin;M;11/4/76;PE;148561;;Human Resources;71;Married;No
57;Jamin;Gerhold;M;9/8/96;PE;114066;;Research & Development;68;Single;No
57;Shelli;Hettinger;;18/9/76;PE;95690;;Sales;33;Married;No
57;Odie;Veum;F;23/7/88;;85210;;Research & Development;69;Divorced;Yes
61;Florian;Beahan;;3/2/78;PE;98027;;Research & Development;78;Married;No
62;Ivonne;Langworth;F;1/3/77;TE;132528;;Research & Development;81;Married;No
62;Jarred;Kilback;M;28/3/90;PE;56123;;Research & Development;62;Married;No
64;Marcello;Yost;M;15/4/95;PE;59985;;Research & Development;65;Married;No
65;Faith;Becker;F;16/12/92;PE;99575;;Research & Development;35;Single;No
66;Savilla;Bernier;F;16/7/74;PE;122832;;Sales;60;Married;No
66;Ott;Huels;M;17/7/91;;106909;;Research & Development;45;Married;No
67;Marcy;Schuppe;M;31/12/83;;142081;;Research & Development;89;Married;No
69;Shaneka;Powlowski;;21/3/95;PE;103204;;Sales;80;Married;No
71;Bobbie;Kessler;F;3/9/70;TE;119641;;Sales;90;Single;No
72;Laisha;Collier;F;23/10/81;PE;131899;;Sales;73;Single;No
73;Brandon;Stokes;F;23/1/80;;117282;;Research & Development;87;Single;Yes
73;Gregorio;Christiansen;M;25/7/86;TE;112205;;Research & Development;51;Single;Yes
74;Marlin;Collins;F;26/2/81;PE;85519;;Sales;38;Married;No
75;Donat;Ryan;M;15/7/78;PE;88653;;Research & Development;87;Divorced;No
75;Kayson;Towne;F;8/11/80;TE;68757;;Sales;59;Married;Yes
76;Wilhelm;Halvorson;M;18/6/84;;56856;;Research & Development;45;Married;No
77;Baldwin;Osinski;;8/8/93;PE;72896;;Research & Development;80;Married;Yes
78;Brannon;Goldner;F;9/4/85;PE;72290;;Research & Development;93;Single;No
79;Dorsey;Zemlak;M;30/10/88;;72049;;Research & Development;46;Married;No
80;Adella;Hintz;F;21/12/70;PE;116692;;Research & Development;92;Married;No
80;Zelpha;White;M;7/12/99;PE;84398;;Sales;84;Married;No
82;Rennie;Koch;M;24/8/93;TE;132854;;Research & Development;87;Divorced;No
82;Gwyneth;Prosacco;;13/9/95;PE;55602;;Research & Development;63;Married;No
84;Akeelah;Kris;M;22/2/81;PE;123656;;Sales;56;Single;No
85;Galilea;Waters;;24/7/70;PE;135774;;Research & Development;51;Married;Yes
87;Citlalli;Dach;F;2/7/93;PE;133519;;Research & Development;85;Married;Yes
88;Zain;Franecki;F;3/11/72;PE;141171;;Research & Development;41;Married;Yes
88;Tempie;Heller;F;10/7/83;PE;141141;;Research & Development;35;Married;No
88;Gustie;Feest;M;29/12/76;PE;130311;;Research & Development;31;Divorced;Yes
89;Yuridia;Rodriguez;;22/1/84;TE;129460;;Research & Development;48;Married;No
90;Greyson;Bruen;F;30/10/72;CA;144889;;Research & Development;50;Single;Yes
90;Zilpha;Kreiger;F;21/7/80;;91584;;Sales;52;Married;No
91;Glennis;Abshire;M;19/1/92;;104223;;Sales;54;Single;No
91;Ethelyn;Romaguera;;15/4/94;PE;90500;;Research & Development;76;Married;Yes
92;Love;Bode;F;16/8/90;PE;101786;;Research & Development;42;Divorced;No
93;Wells;Wyman;F;29/7/75;;78807;;Research & Development;84;Married;No
94;Davonta;Hoppe;M;22/9/73;CA;132089;;Research & Development;76;Married;No
94;Samara;Erdman;F;29/10/91;PE;119930;;Research & Development;--;Divorced;No
95;Jase;Dibbert;M;3/12/72;PE;146698;;Research & Development;--;Married;No
95;Hilah;Thompson;;6/5/84;TE;103413;;Research & Development;--;Divorced;No
97;Jonnie;McDermott;M;13/7/80;CA;100740;;Research & Development;97;Single;No
98;Leroy;Kuhic;F;18/12/92;CA;149322;;Sales;70;Single;Yes
98;Carmen;Macejkovic;;13/6/87;PE;128497;;Human Resources;98;Married;No
99;Austin;Hahn;F;1/5/75;;88848;;Research & Development;76;Divorced;No
101;Khalilah;Flatley;M;31/3/74;PE;91171;;Research & Development;80;Married;No
101;Delvin;Schuppe;M;5/6/97;PE;62462;;Research & Development;52;Married;No
102;Ramona;Reichert;F;26/2/77;PE;116332;;Research & Development;85;Married;No
102;Stacey;Rice;F;13/2/75;TE;109856;;Research & Development;81;Single;No
104;Cephus;Botsford;M;11/9/86;PE;84377;;Research & Development;59;Divorced;No
105;Christa;Buckridge;M;23/5/98;PE;139709;;Research & Development;54;Married;Yes
105;Lucetta;Kemmer;M;22/3/80;PE;72335;;Sales;55;Married;No
106;Bennie;Deckow;F;20/10/85;PE;86508;;Research & Development;71;Married;No
108;Myrta;Kuvalis;M;24/1/90;PE;106103;;Research & Development;84;Single;Yes
108;Meryl;Wunsch;M;4/11/99;TE;73793;;Human Resources;37;Married;Yes
109;Odin;Metz;M;5/11/99;PE;91335;;Research & Development;89;Married;No
109;Joselyn;Schmeler;M;23/6/70;PE;84979;;Sales;59;Divorced;Yes
110;Julie;Wiegand;F;24/5/82;PE;141991;;Research & Development;32;Single;Yes
110;Metta;Trantow;;21/12/77;PE;122444;;Research & Development;86;Married;No
110;Benny;Jenkins;;11/11/73;TE;86686;;Research & Development;87;Single;No
112;Elease;Torp;F;31/1/90;PE;89048;;Research & Development;73;Single;Yes
115;Pandora;Goodwin;F;24/4/75;--;139469;;Sales;42;Single;No
116;Eboni;Feest;M;13/6/81;--;140226;;Research & Development;42;Married;No
116;Dionte;Hettinger;;21/9/95;--;96590;;Research & Development;77;Divorced;No
124;Edrie;Wilderman;F;3/2/76;--;117636;;Research & Development;66;Married;No
124;Alaina;Hilpert;;9/1/87;PE;62046;;Research & Development;72;Married;No
126;Ulises;Nicolas;F;30/4/95;PE;134165;;Research & Development;50;Divorced;No
126;Rayfield;Armstrong;;16/1/74;PE;121744;;Sales;31;Single;No
126;Redmond;Zieme;M;6/4/79;CA;90315;;Research & Development;66;Divorced;No
126;Kimberli;Walter;M;7/3/76;CA;60712;;Research & Development;77;Single;No
130;Merwin;O'Keefe;;7/9/81;TE;95193;;Research & Development;41;Married;Yes
130;Oney;Purdy;M;20/12/76;PE;59579;;Research & Development;33;Married;No
132;Keira;Lubowitz;M;27/1/86;PE;137921;;Research & Development;79;Divorced;No
132;Maxim;Orn;M;1/3/71;CA;127966;;Research & Development;91;Married;No
132;Esmeralda;Nolan;F;3/11/96;PE;57474;;Research & Development;65;Married;No
134;Seth;Schuppe;;23/11/86;--;148986;;Sales;36;Single;Yes
135;Aletha;Konopelski;;18/1/84;PE;60778;;Research & Development;90;Married;No
137;Colette;Franecki;;2/6/90;PE;127923;;Sales;43;Divorced;Yes
137;Winston;Sipes;M;22/5/98;PE;106134;;Sales;93;Divorced;No
137;Rosco;Lynch;;20/6/89;PE;103499;;Research & Development;45;Divorced;No
138;Freddie;Emmerich;M;19/12/87;;138387;;Sales;67;Married;No
138;Nannette;Wintheiser;;5/10/85;PE;124371;;Research & Development;74;Divorced;Yes
141;Thurman;Bosco;F;29/6/73;PE;130265;;Research & Development;42;Single;No
141;Bayard;Bartoletti;M;21/11/90;CA;115560;;Sales;47;Divorced;No
142;Ashby;Waelchi;F;12/8/85;;119416;;Research & Development;36;Single;No
143;Ilo;Mohr;F;8/1/85;PE;106096;;Sales;80;Single;Yes
143;Miranda;Hagenes;M;21/4/80;TE;68804;;Sales;54;Single;No
144;Stanford;Roberts;;14/11/96;PE;147941;0,04;Sales;36;Divorced;Yes
144;Gavin;Kuhic;M;20/9/85;PE;132542;;Research & Development;--;Married;No
144;Tracey;Lebsack;F;24/4/75;CA;72866;;Human Resources;--;Divorced;Yes
147;Bryan;Schulist;M;10/9/72;PE;146652;;Research & Development;--;Single;Yes
148;Celeste;Bernhard;M;24/4/73;CA;76386;;Research & Development;--;Married;No
149;Sheilah;Hoeger;F;11/12/90;PE;57102;;Research & Development;48;Married;No
151;Ephram;Lindgren;M;10/12/94;CA;130053;;Sales;95;Married;Yes
151;Truman;Hansen;M;15/1/99;PE;108002;;Research & Development;95;Single;No
154;Jiles;Osinski;M;3/12/81;--;59309;;Research & Development;76;Single;No
156;Armstead;O'Kon;F;7/8/84;PE;75042;;Research & Development;94;Divorced;No
157;Shana;Prosacco;;1/11/73;PE;64181;;Research & Development;57;Married;No
160;Daniele;Kassulke;M;28/4/89;PE;138123;;Research & Development;92;Divorced;No
160;Zita;Hermiston;M;29/4/97;PE;128330;;Research & Development;79;Married;No
160;Denice;Hayes;;17/6/76;PE;115752;;Sales;31;Divorced;No
160;Kelley;Stiedemann;;14/9/77;PE;78564;;Research & Development;35;Married;No
161;Zion;Cronin;;30/9/91;PE;115523;;Sales;99;Divorced;Yes
163;Ester;Emmerich;M;13/8/89;;134033;;Research & Development;96;Married;Yes
163;Offie;Bernier;M;18/12/83;PE;89910;;Research & Development;79;Single;Yes
163;January;Balistreri;F;26/10/95;;63802;;Sales;73;Married;Yes
165;Jalissa;Bogisich;F;7/1/74;PE;101133;;Research & Development;62;;No
165;Bennett;Bahringer;M;16/4/71;PE;66507;;Sales;35;;No
166;Ailene;Bradtke;M;27/10/77;TE;126848;;Research & Development;43;;No
167;Nick;Little;M;20/8/80;PE;103003;;Sales;51;Single;No
167;Harmony;Welch;;18/7/91;PE;83793;;Research & Development;74;Married;No
171;Christa;Roob;M;17/12/96;TE;110838;;Human Resources;58;Married;No
171;Hope;Zboncak;F;18/7/89;PE;109051;;Sales;82;Married;1
172;Medora;Wisoky;M;13/9/94;PE;113470;;Research & Development;62;Married;No
172;Valentino;Borer;;16/1/79;;103891;;Research & Development;48;Single;No
174;Devin;Reynolds;;15/1/91;TE;56817;;Research & Development;56;Married;No
175;Melton;Sporer;;24/11/94;CA;115644;;Research & Development;69;Married;No
175;Aja;Lynch;M;21/8/86;PE;69271;;Human Resources;60;Married;No
176;Breonna;Schaefer;F;28/6/82;PE;105640;;Research & Development;92;Married;Yes
177;Carmelita;Bednar;M;22/2/97;;71107;;Research & Development;91;Divorced;No
177;Alena;Johns;M;30/7/80;PE;64689;;Research & Development;34;Single;No
183;Heyward;Mueller;M;7/11/84;;118215;;Research & Development;49;Married;No
184;Sheree;Morar;M;22/3/97;CA;86222;;Research & Development;33;Married;No
185;Wally;Hirthe;M;20/7/91;PE;129998;;Sales;87;Married;No
185;Thomas;Leffler;M;27/1/91;PE;96328;;Sales;74;Divorced;Yes
185;Quint;Halvorson;M;24/11/78;TE;56029;;Sales;96;Divorced;Yes
187;Audie;Weimann;F;14/11/72;PE;118431;;Sales;34;Single;No
188;Fenton;Block;F;23/2/90;PE;119342;;Research & Development;51;Single;No
188;Gracie;Shanahan;M;21/9/92;PE;61106;;Research & Development;30;Single;No
188;;;;;;;;;;;
189;Clarke;Block;;10/7/82;PE;80576;;Sales;80;Married;No
191;Denice;Hand;F;29/10/94;TE;83935;;Sales;88;Single;No
191;Jacquez;Halvorson;F;3/8/91;PE;55690;;Human Resources;56;Married;No
193;Imanol;Streich;M;30/9/74;PE;76056;;Research & Development;78;Single;No
194;Ace;Upton;;25/8/87;PE;120120;;Human Resources;59;Married;No
194;Trilby;Hartmann;F;11/1/79;PE;118209;;Human Resources;66;Divorced;No
194;Travon;Schmitt;M;7/12/99;CA;112990;;Sales;51;Married;No
195;Mustafa;Emard;M;16/3/72;PE;55003;;Research & Development;67;Single;No
196;Ebb;Thiel;M;19/10/82;PE;142036;;Sales;52;Single;No
198;Acy;Paucek;M;17/11/92;--;146126;;Research & Development;70;Single;Yes
202;Amarion;Tromp;;5/1/70;CA;146723;;Sales;94;Divorced;No
202;Delwin;Satterfield;M;8/5/92;TE;146286;;Research & Development;97;Married;Yes
202;Brandon;Yost;F;22/1/93;PE;84858;;Sales;62;Single;No
204;Selah;Pfeffer;;20/4/91;;90609;;Sales;80;Single;No
206;Ardell;Swift;F;15/6/97;PE;146257;;Sales;74;Single;Yes
207;True;Mante;M;29/4/84;TE;84350;;Research & Development;75;Married;No
208;Minerva;Sawayn;M;9/8/79;CA;139741;;Sales;70;Married;No
208;Nancie;Smith;F;12/3/98;PE;107216;;Research & Development;91;Divorced;No
208;Jedidiah;Zieme;;20/10/99;CA;85879;;Research & Development;58;Married;No
211;Savon;Lubowitz;M;11/11/72;PE;110521;;Research & Development;65;Single;No
211;Alyce;Haag;M;5/10/79;PE;106761;;Research & Development;60;Married;Yes
211;Lexie;Robel;M;5/9/97;;106595;;Research & Development;38;Married;Yes
212;Fredy;Mraz;F;5/5/94;PE;104426;;Research & Development;57;Divorced;No
213;Willie;O'Keefe;F;12/1/98;PE;124504;;Research & Development;60;Married;No
213;Lyn;Bechtelar;F;27/4/90;TE;104808;;Research & Development;90;Divorced;No
214;Debbie;Bayer;F;31/12/83;PE;140985;;Research & Development;--;Divorced;No
214;Gail;Erdman;F;23/10/75;PE;84614;;Sales;87;Divorced;Yes
215;Pasquale;Boyle;M;9/4/71;CA;132888;;Research & Development;60;Married;Yes
216;Jazlyn;Davis;M;11/4/94;CA;118945;;Human Resources;97;Single;No
217;Adrian;Christiansen;F;20/5/92;PE;118067;;Sales;32;Single;No
217;Ryann;Mertz;M;21/6/97;;83567;;Sales;31;Single;No
217;Alec;Spinka;M;11/7/93;PE;62865;;Research & Development;40;Married;No
218;Kaiden;Hayes;;6/4/75;CA;143624;;Research & Development;79;Married;Yes
219;Vicente;Wiegand;M;7/4/92;PE;67066;;Sales;91;Married;No
221;Devonte;Erdman;M;15/9/85;PE;59567;;Research & Development;53;Married;No
222;Lucie;Murphy;M;22/5/91;PE;146587;;Sales;46;Married;No
222;Goldia;Kulas;F;22/9/77;PE;145125;;Research & Development;46;Divorced;Yes
222;Yaakov;Skiles;;17/5/88;--;134281;;Research & Development;90;Married;Yes
222;Elodie;Heller;M;15/6/98;PE;131562;0,03;Research & Development;99;Divorced;Yes
222;Beckie;Welch;F;13/5/83;;85858;;Human Resources;89;Divorced;No
222;Caddie;Toy;F;16/12/86;PE;74409;;Sales;84;Single;Yes
225;Michaela;Sanford;F;5/5/76;PE;70382;;Research & Development;90;Married;No
227;Leone;Upton;M;8/3/88;CA;148436;;Research & Development;82;Married;No
227;Xiomara;Armstrong;;29/7/96;PE;145164;;Research & Development;65;Single;No
228;Newt;Kertzmann;F;14/5/97;PE;80860;;Sales;98;Single;No
229;Octave;Grant;;28/4/75;;69936;;Research & Development;99;Married;No
232;Marland;Bayer;F;10/4/91;TE;144022;;Research & Development;95;Married;No
232;Urijah;McClure;F;29/4/71;TE;105555;;Research & Development;90;Divorced;No
232;Gaither;Jakubowski;;10/10/87;PE;65128;;Human Resources;100;Divorced;No
233;Leo;Bartell;;7/7/95;PE;74990;;Research & Development;93;Married;No
233;Bryce;Beatty;M;15/12/70;CA;57111;;Research & Development;58;Single;No
235;Eugenie;Senger;M;19/10/98;TE;125441;;Sales;83;Divorced;No
235;Melody;Farrell;M;5/6/81;PE;89670;;Research & Development;52;Single;No
235;Lakendra;Ruecker;;1/10/73;PE;73881;;Research & Development;85;Single;No
236;Boyd;Hirthe;;29/12/86;PE;73884;;Sales;--;Divorced;Yes
237;Leora;Tromp;M;13/6/84;TE;84218;;Research & Development;64;;No
237;Lauri;Hodkiewicz;;9/5/75;;59596;;Human Resources;69;;Yes
238;Addison;Sanford;;20/9/77;CA;111234;;Research & Development;66;;No
240;Melissa;Bode;F;19/7/86;CA;65725;;Research & Development;52;;No
241;Jaclyn;O'Connell;F;30/1/93;PE;126787;;Sales;92;Married;No
242;Milo;Sanford;F;18/12/73;PE;112077;;Sales;52;Divorced;No
242;Clemence;O'Connell;F;24/6/84;PE;92830;;Research & Development;91;Married;No
244;Helene;Medhurst;M;13/8/82;PE;123711;;Research & Development;92;Divorced;Yes
245;Gladis;Yost;;30/12/96;PE;74821;;Research & Development;47;Divorced;No
245;Rico;Wilderman;M;29/12/70;PE;73523;;Research & Development;68;Married;No
246;Alwilda;Lueilwitz;M;10/7/99;PE;132499;;Sales;68;Married;No
249;Elmer;Reichert;M;9/4/78;PE;84094;;Research & Development;67;Married;No
251;Burnie;Marvin;;16/2/98;PE;76057;;Sales;77;Married;Yes
253;Margot;Connelly;F;30/4/82;;75082;;Sales;46;Single;No
254;Leonor;Reynolds;F;9/4/89;CA;79301;;Research & Development;87;Married;Yes
257;Vergie;Tremblay;F;9/12/87;CA;149999;0,03;Research & Development;33;Single;No
259;Cain;Rath;;30/12/80;PE;148413;;Human Resources;89;Married;No
260;Karley;Hahn;M;24/8/84;PE;134543;;Human Resources;56;Divorced;Yes
260;Hillard;Aufderhar;;21/1/85;PE;93850;;Sales;67;Married;No
261;Harley;Conn;M;24/10/83;PE;98869;;Research & Development;73;Married;Yes
261;Garey;Vandervort;F;19/7/71;PE;67132;;Sales;92;Married;No
263;Lorrayne;Volkman;M;13/11/88;TE;121555;;Research & Development;53;Single;Yes
264;Jaeda;Effertz;;21/3/94;PE;131924;;Research & Development;40;Married;No
266;Giovani;Friesen;F;26/3/80;CA;87001;;Sales;79;Single;No
267;Eliot;Johnston;M;27/10/79;PE;121358;;Research & Development;38;Married;No
267;Karlee;Labadie;M;17/11/75;PE;108276;;Research & Development;64;Single;1
269;Kiya;Reynolds;F;1/4/81;;100427;;Research & Development;82;Divorced;No
269;Mabel;VonRueden;M;21/1/79;PE;76933;;Human Resources;43;Divorced;No
270;Rigoberto;Swift;;27/12/86;PE;133069;;Research & Development;93;Divorced;No
270;Loula;Hahn;F;23/9/98;PE;107869;;Research & Development;81;Single;No
272;Leonora;Kirlin;M;6/10/87;PE;85853;;Sales;82;Single;Yes
273;Davis;Price;;17/3/90;PE;81471;;Sales;45;Divorced;No
274;Salina;Hammes;F;16/4/79;TE;122286;;Sales;36;Married;No
275;Moody;Fritsch;F;2/10/92;PE;62066;;Human Resources;87;Married;No
276;Hart;Kunze;M;8/9/74;CA;73245;;Research & Development;81;Married;No
277;Bliss;Abshire;F;20/8/85;PE;106218;;Research & Development;91;Married;No
277;Talmage;Bartell;F;19/2/89;PE;103606;;Research & Development;73;Single;Yes
277;Rosanne;Heathcote;F;23/6/93;;67357;;Sales;64;Married;No
277;Meta;Denesik;F;21/12/71;PE;65794;;Research & Development;77;Married;No
278;Lorelei;Spencer;M;10/2/73;PE;126556;;Research & Development;41;Divorced;No
279;Alaina;Klocko;F;7/9/81;PE;125133;;Research & Development;98;Married;No
279;Jarod;Jerde;;30/1/79;PE;113984;;Sales;78;Married;No
281;Alston;Davis;F;5/8/70;;123387;;Sales;89;Single;No
281;Simon;Ortiz;F;18/5/78;;67293;;Research & Development;75;Single;Yes
282;Waymon;Bauch;M;29/12/73;PE;118954;;Sales;63;Married;Yes
284;Francies;McGlynn;F;5/5/91;PE;131460;;Research & Development;89;Divorced;No
285;Merl;Wintheiser;;30/1/80;PE;130592;;Sales;64;Married;Yes
285;Pennie;Goodwin;;26/3/97;PE;76698;;Research & Development;59;Single;No
286;Mickey;Hettinger;;2/7/96;CA;79999;;Research & Development;78;Married;Yes
287;Jory;Tromp;F;6/6/85;PE;133805;;Research & Development;44;Married;Yes
288;Rubie;Hartmann;M;6/9/96;PE;64643;;Research & Development;93;Married;No
289;Jeryl;Lesch;F;24/5/71;PE;144888;;Human Resources;94;Single;No
289;Uriah;Bashirian;M;22/3/74;PE;102185;;Research & Development;98;Divorced;No
290;Frieda;Barrows;M;27/9/81;PE;130890;;Research & Development;90;Married;Yes
291;Berneice;Powlowski;;25/11/80;PE;146171;;Sales;89;Single;0
291;Solomon;Ziemann;M;30/5/75;;86358;;Research & Development;--;Divorced;0
293;Drury;Weissnat;;29/1/82;PE;99258;;Research & Development;78;Married;0
293;Rob;Hagenes;M;27/1/97;TE;73762;;Research & Development;85;Married;Yes
296;Verona;Padberg;M;14/10/98;;125561;;Research & Development;97;Single;No
296;Isiah;Crist;;12/10/84;CA;85347;;Sales;33;Married;No
297;Clemmie;Crist;M;24/4/88;CA;67216;;Sales;54;Married;No
298;Edwina;Aufderhar;M;8/9/89;PE;89080;;Research & Development;83;Married;No
299;Alvin;Marvin;F;21/7/89;;109310;;Sales;86;Divorced;Yes
301;Garrison;Schulist;M;14/10/82;PE;109871;;Sales;75;Married;Yes
301;Leonore;Stroman;M;18/2/91;PE;58179;;Research & Development;62;Divorced;No
301;Jimmie;Wisoky;F;15/3/82;PE;55945;;Research & Development;61;Married;No
302;Vernell;Schmidt;F;8/8/83;;123021;;Research & Development;44;Single;No
303;Dennis;Cole;M;16/4/93;;147018;;Sales;43;Single;No
303;Martell;Kassulke;;20/2/72;TE;127189;;Sales;42;Married;Yes
304;Iesha;Franecki;M;16/7/75;TE;100401;;Sales;45;Single;No
307;Colt;Schmitt;F;31/7/90;;79093;;Sales;32;Married;No
307;Percival;Flatley;F;11/12/82;PE;67961;;Research & Development;41;Married;No
308;Elberta;Harvey;F;29/12/88;PE;146691;;Research & Development;86;Married;Yes
309;Beatriz;Brakus;;12/7/74;TE;118988;;Sales;84;Single;Yes
309;Wilfred;Willms;M;19/7/98;;108311;;Research & Development;64;Married;No
310;Sammy;Dickinson;F;20/4/96;PE;136082;;Sales;89;Married;No
310;Tolbert;Trantow;M;7/9/94;PE;91941;;Research & Development;87;Married;No
312;Rylie;Bode;M;5/3/78;PE;146229;;Research & Development;58;Divorced;Yes
312;Osborne;Bayer;M;13/8/90;PE;111836;;Sales;72;Married;Yes
313;Danette;Ward;;30/7/87;TE;129422;;Research & Development;47;Single;Yes
317;Arthur;Beatty;M;4/7/74;;89660;;Research & Development;71;Divorced;No
318;Makena;Heidenreich;M;27/8/74;CA;95112;;Research & Development;--;Married;No
318;Bev;Schuster;F;23/6/81;PE;69093;;Sales;77;Divorced;Yes
321;Lim;Schmitt;M;19/2/74;CA;128365;;Human Resources;58;Married;No
325;Migdalia;Sauer;M;24/8/92;PE;144271;;Sales;71;Married;No
325;Latifah;Howe;M;22/3/94;TE;81518;;Research & Development;49;Single;No
326;Mandy;Greenfelder;;16/11/95;PE;79047;;Research & Development;48;Divorced;Yes
326;Denton;Becker;F;13/5/84;PE;60045;;Research & Development;66;Married;No
327;Amarion;Larkin;M;28/6/87;PE;145321;;Sales;32;Single;No
327;Renea;Erdman;M;3/8/86;PE;64245;;Sales;39;Divorced;No
327;Byrd;Wintheiser;M;1/11/83;PE;62026;;Research & Development;95;Single;No
328;Otha;Keebler;F;4/2/90;PE;141310;;Research & Development;89;Married;No
328;Randal;Greenholt;F;5/5/96;CA;121584;;Research & Development;34;Divorced;No
329;Elizabet;Dickinson;F;13/3/85;CA;117526;;Research & Development;48;Married;No
329;Jailene;Lakin;M;10/11/87;CA;97618;;Research & Development;32;Divorced;No
332;Alston;Grimes;M;14/5/77;CA;118206;;Sales;59;Single;No
332;Kazuko;Abbott;F;7/2/90;PE;58642;;Sales;55;Married;Yes
333;Gidget;Champlin;M;28/4/75;PE;57584;;Sales;44;Single;No
335;Antionette;Morar;;13/9/73;;76351;;Research & Development;56;Single;No
337;Carlota;Ruecker;;14/5/73;PE;141437;;Sales;63;Married;Yes
337;Omar;Beier;M;22/1/77;;125879;;Sales;66;Single;Yes
340;Osie;Bruen;M;18/8/79;TE;85492;;Research & Development;67;Married;No
341;Helena;Runte;;9/12/96;PE;60112;;Research & Development;36;Divorced;No
343;Eldred;Hahn;M;2/9/98;PE;146067;;Research & Development;30;Married;No
344;Elyse;Stroman;F;24/1/75;PE;107074;;Human Resources;88;Married;Yes
345;Jajuan;Leffler;M;15/4/81;;92701;;Human Resources;71;Married;Yes
346;Albertus;Littel;M;6/3/94;;55958;;Research & Development;59;Divorced;Yes
348;Hebert;Muller;M;4/9/90;PE;100324;;Sales;77;Single;No
348;Tiffanie;Hessel;F;9/3/87;PE;64381;;Research & Development;37;Single;No
349;Kamora;Bednar;;24/7/88;PE;72137;;Research & Development;40;Married;No
350;Maci;Hilll;F;23/11/96;;124359;;Research & Development;77;Single;Yes
